unit_shortName,unit_fullName,unit_vocab,unit_class,,,,,,,,,,,,
,Mean count (seasonal) of biological entity specified elsewhere,http://vocab.nerc.ac.uk/collection/P01/current/SOVO0002,Biological_Abundance_Biomass,,,,,,,,,,,,
,Size class (calculated) of biological entity specified ,,Biological_Abundance_Biomass,,,,,,,,,,,,
,elsewhere in the water body by calculation using the ,,Biological_Abundance_Biomass,,,,,,,,,,,,
,HELCOME COMBINE guidelines,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL15,Biological_Abundance_Biomass,,,,,,,,,,,,
,Wet weight biomass (in assayed sample) of biological entity ,,Biological_Abundance_Biomass,,,,,,,,,,,,
,specified elsewhere,http://vocab.nerc.ac.uk/collection/P01/current/OWETBM01,Biological_Abundance_Biomass,,,,,,,,,,,,
,Wet weight biomass of biological entity specified elsewhere ,,Biological_Abundance_Biomass,,,,,,,,,,,,
,per unit area of the bed,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL05,Biological_Abundance_Biomass,,,,,,,,,,,,
,Wet weight biomass of biological entity specified elsewhere ,,Biological_Abundance_Biomass,,,,,,,,,,,,
,per unit volume of the water body,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL04,Biological_Abundance_Biomass,,,,,,,,,,,,
,Specimen age of biological entity specified elsewhere,http://vocab.nerc.ac.uk/collection/P01/current/AGEBENTX,Specimen_characteristics,,,,,,,,,,,,
,Calculated carbon biomass of biological entity specified ,,Specimen_characteristics,,,,,,,,,,,,
,elsewhere per unit volume of the water body,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL12,Specimen_characteristics,,,,,,,,,,,,
,Calculated volume of biological entity specified elsewhere ,,Specimen_characteristics,,,,,,,,,,,,
,per unit volume of the water body,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL13,Specimen_characteristics,,,,,,,,,,,,
,Proportion of successful nests of biological entity specified ,,Specimen_characteristics,,,,,,,,,,,,
,elsewhere,http://vocab.nerc.ac.uk/collection/P01/current/SOVO0005,Specimen_characteristics,,,,,,,,,,,,
,Mean viable offspring (per breeding pair) {fledging success} ,,Specimen_characteristics,,,,,,,,,,,,
,of biological entity specified elsewhere,http://vocab.nerc.ac.uk/collection/P01/current/SOVO0006,Specimen_characteristics,,,,,,,,,,,,
,Length of biological entity specified elsewhere,http://vocab.nerc.ac.uk/collection/P01/current/OBSINDLX,Specimen_characteristics,,,,,,,,,,,,
,Standard Length,http://vocab.nerc.ac.uk/collection/P01/current/SL01XX01/,Specimen_characteristics,,,,,,,,,,,,
,Maximum length of biological entity specified elsewhere, http://vocab.nerc.ac.uk/collection/P01/current/OBSMAXLX,Specimen_characteristics,,,,,,,,,,,,
,Minimum length of biological entity specified elsewhere, http://vocab.nerc.ac.uk/collection/P01/current/OBSMINLX,Specimen_characteristics,,,,,,,,,,,,
,Categorisation of biological entity specified elsewhere ,,Specimen_characteristics,,,,,,,,,,,,
,as living or nonliving,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL11,Specimen_characteristics,,,,,,,,,,,,
,Cell volume of biological entity specified elsewhere by cell ,,Specimen_characteristics,,,,,,,,,,,,
,size measurements and conversion to cell volume using ,,Specimen_characteristics,,,,,,,,,,,,
,stereometric formulas,http://vocab.nerc.ac.uk/collection/P01/current/CELLVOLM,Specimen_characteristics,,,,,,,,,,,,
,Tarsus length,http://vocab.nerc.ac.uk/collection/P01/current/SPTLXX01/,Specimen_characteristics,,,,,,,,,,,,
,Wing length,http://vocab.nerc.ac.uk/collection/P01/current/SPWLXX01/,Specimen_characteristics,,,,,,,,,,,,
,Weight,http://vocab.nerc.ac.uk/collection/P01/current/SPWGXX01/,Specimen_characteristics,,,,,,,,,,,,
,Head length,http://vocab.nerc.ac.uk/collection/P01/current/SPHLXX01/,Specimen_characteristics,,,,,,,,,,,,
,Bill length,http://vocab.nerc.ac.uk/collection/P01/current/SPCLXX01/,Specimen_characteristics,,,,,,,,,,,,
,Bill depth at gonys,http://vocab.nerc.ac.uk/collection/P01/current/SPBLXX01/,Specimen_characteristics,,,,,,,,,,,,
,Lifestage,http://vocab.nerc.ac.uk/collection/P01/current/LSTAGE01/,Specimen_characteristics,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Abiotic measurements: Ecotoxicological parameters,,,,,,,,,,,,,,
,Parameter,,,,,,,,,,,,,,
,-------------------------------------------------------,, ----------------------------------------------------,,,,,,,,,,,,
,Concentration of lead (Pb) per unit wet weight of biota ,,Ecotoxicological_parameters,,,,,,,,,,,,
,(biological entity specified elsewhere), http://vocab.nerc.ac.uk/collection/P01/current/PBBIOTUK,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Abiotic measurements: ,,,,,,,,,,,,,,
,Parameter,,Sediment_parameters,,,,,,,,,,,,
,-------------------------------------------------------,, ----------------------------------------------------,,,,,,,,,,,,
,Sediment type category,,http://vocab.nerc.ac.uk/collection/P01/current/SEDTYCAT],,,,,,,,,,,,
,Proportion of particles (sand size-fraction) in sediment,,http://vocab.nerc.ac.uk/collection/P01/current/SANDZZZZ,,,,,,,,,,,,
,Proportion of particles (silt size-fraction) in sediment,,http://vocab.nerc.ac.uk/collection/P01/current/SILTZZZZ,,,,,,,,,,,,
,Proportion of particles (clay size-fraction) in sediment,,http://vocab.nerc.ac.uk/collection/P01/current/CLAYZZZZ,,,,,,,,,,,,
,Median phi,,http://vocab.nerc.ac.uk/collection/P01/current/current/PC50SSXX/,,,,,,,,,,,,
,Cadmium in the &lt;2 micron fraction of sediment sample,,http://vocab.nerc.ac.uk/collection/P01/current/MCDSP012/,,,,,,,,,,,,
,Chlorophyll a in sediment sample,,http://vocab.nerc.ac.uk/collection/P01/current/SCLAFLTX,,,,,,,,,,,,
,Cobalt in the &lt;2 micron fraction of the sediment sample,,http://vocab.nerc.ac.uk/collection/P01/current/MCOSP012,,,,,,,,,,,,
,Chromium in the &lt;2 micron fraction of the sediment sample,,http://vocab.nerc.ac.uk/collection/P01/current/MCRSP012,,,,,,,,,,,,
,Cupper in the &lt;2 micron fraction of the sediment sample,,http://vocab.nerc.ac.uk/collection/P01/current/MCUSP012,,,,,,,,,,,,
,Iron in the &lt;2 micron fraction of the sediment sample,,http://vocab.nerc.ac.uk/collection/P01/current/MFESP012,,,,,,,,,,,,
,Total pigment in the sediment sample,,http://vocab.nerc.ac.uk/collection/P01/current/SCPEFLTX/,,,,,,,,,,,,
,manganese in the s2 micron fraction of the sediment sample,,http://vocab.nerc.ac.uk/collection/P01/current/MMNSP012,,,,,,,,,,,,
,Nickel in the &lt;2 micron fraction of the sediment sample,  http://vocab.nerc.ac.uk/collection/P01/current/MNISP012,,,,,,,,,,,,,
,Lead in the &lt;2 micron fraction of the sediment sample,,,,http://vocab.nerc.ac.uk/collection/P01/current/MPBSP012,,,,,,,,,,
,Protein in the sediment sample,,,,,,,,http://vocab.nerc.ac.uk/collection/P01/current/SPROPHTX,,,,,,
,Zinc in the &lt;2 micron fraction of the sediment sample,,http://vocab.nerc.ac.uk/collection/P01/current/MZNSP012,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Abiotic measurements: Water column parameters,,,,,,,,,,,,,,
,Parameter,,,,,,,,,,,,,BODCvocabterm,
,-------------------------------------------------------,, ----------------------------------------------------,,,,,,,,,,,,
,Pressure,,,,,,,,,,,,,,http://vocab.nerc.ac.uk/collection/P01/current/PRESPS02/
,Temperature,,,,,,,,,,,,,http://vocab.nerc.ac.uk/collection/P01/current/TEMPCU01/,
,Salinity,,,,,,,,,,,,,,http://vocab.nerc.ac.uk/collection/P01/current/PSALCU01/
,Average salinity,,,,,,,,,,,,http://vocab.nerc.ac.uk/collection/P01/current/SSAMP001,,
,Average temperature,,,,,,,,,,,http://vocab.nerc.ac.uk/collection/P01/current/TSAMP001,,,
,,,,,,,,,,,,,,,
,Units,,,,,,,,,,,,,,
,Parameter,,,,,,,,,,,,,BODCvocabterm,
,-------------------------------------------------------,, ----------------------------------------------------,,,,,,,,,,,,
,kg,  Kilogram,,,,,,,,,,,,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,
